epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,4275.28,1.61656,0.82086,1.14485,0.7393,0.58279,0.67783,0.35372,0.2259,0.08944,3770,1.59013,0.80329,1.14175,0.006898,0.006898,0.006898
49,4356.74,1.60624,0.8205,1.13839,0.71146,0.61478,0.68111,0.35371,0.23022,0.08991,3770,1.59322,0.79061,1.13862,0.006832,0.006832,0.006832
50,4438.02,1.60441,0.81615,1.13983,0.73635,0.59626,0.68178,0.35383,0.22385,0.08727,3770,1.5978,0.78987,1.14136,0.006766,0.006766,0.006766
51,4519.51,1.60269,0.81434,1.13368,0.71964,0.61688,0.68229,0.35482,0.23204,0.093,3770,1.58522,0.78762,1.1373,0.0067,0.0067,0.0067
52,4601.05,1.60624,0.81056,1.14252,0.73586,0.61404,0.6881,0.36072,0.22923,0.08975,3770,1.58925,0.78296,1.13392,0.006634,0.006634,0.006634
53,4682.7,1.58857,0.80486,1.12817,0.71764,0.60561,0.67916,0.35882,0.23144,0.09128,3770,1.58417,0.78554,1.13468,0.006568,0.006568,0.006568
54,4764.32,1.59082,0.80729,1.13443,0.75827,0.58675,0.68102,0.35636,0.23231,0.09192,3770,1.58324,0.78952,1.13446,0.006502,0.006502,0.006502
55,4846.06,1.58836,0.80469,1.1265,0.75037,0.61277,0.69595,0.36523,0.24263,0.0957,3770,1.56944,0.78463,1.12998,0.006436,0.006436,0.006436
56,4927.54,1.58731,0.79957,1.12588,0.73216,0.60178,0.68947,0.36002,0.24296,0.09618,3770,1.57084,0.78616,1.12662,0.00637,0.00637,0.00637
57,5008.84,1.58465,0.79899,1.12637,0.77477,0.60613,0.70085,0.3648,0.24834,0.09845,3770,1.57594,0.77461,1.12649,0.006304,0.006304,0.006304
58,5089.97,1.57783,0.79546,1.12155,0.76143,0.60708,0.6978,0.36708,0.24178,0.09523,3770,1.56189,0.77255,1.12375,0.006238,0.006238,0.006238
59,5171.47,1.57163,0.79456,1.11601,0.75048,0.60844,0.69398,0.36581,0.24239,0.09703,3770,1.57025,0.77869,1.1243,0.006172,0.006172,0.006172
60,5252.63,1.57157,0.78848,1.12025,0.76068,0.59768,0.70112,0.37027,0.24431,0.09742,3770,1.56135,0.77053,1.11933,0.006106,0.006106,0.006106
61,5333.81,1.55664,0.78545,1.11328,0.74835,0.62475,0.70719,0.3677,0.25113,0.09787,3770,1.55774,0.77112,1.12071,0.00604,0.00604,0.00604
62,5415.11,1.55857,0.78526,1.11082,0.74372,0.62707,0.69973,0.36794,0.25215,0.09891,3770,1.557,0.76822,1.11898,0.005974,0.005974,0.005974
63,5496.85,1.55316,0.77769,1.1069,0.75224,0.61748,0.70063,0.36491,0.25266,0.09928,3770,1.55691,0.76129,1.11906,0.005908,0.005908,0.005908
64,5578.67,1.55134,0.77619,1.11105,0.74819,0.62713,0.70852,0.37014,0.25416,0.10094,3770,1.5599,0.75959,1.12151,0.005842,0.005842,0.005842
65,5659.88,1.5523,0.77545,1.10492,0.75386,0.62919,0.70543,0.37191,0.25613,0.1001,3770,1.54794,0.75914,1.11474,0.005776,0.005776,0.005776
66,5741.63,1.54431,0.77612,1.10877,0.77848,0.61033,0.70724,0.37383,0.24958,0.09883,3770,1.54734,0.75022,1.11358,0.00571,0.00571,0.00571
67,5823.11,1.53426,0.77109,1.10149,0.77304,0.62319,0.70902,0.37669,0.24779,0.09898,3770,1.54258,0.75758,1.11239,0.005644,0.005644,0.005644
68,5904.59,1.5368,0.76891,1.10484,0.76757,0.61872,0.70633,0.37031,0.24861,0.09809,3770,1.55335,0.75477,1.11269,0.005578,0.005578,0.005578
69,5986,1.52881,0.76157,1.10429,0.76695,0.61172,0.70218,0.3731,0.24409,0.09752,3770,1.5551,0.74993,1.11438,0.005512,0.005512,0.005512
70,6067.28,1.53063,0.76282,1.09936,0.75676,0.62406,0.71125,0.37578,0.25317,0.10069,3770,1.54591,0.75017,1.10969,0.005446,0.005446,0.005446
71,6149.11,1.52527,0.76476,1.09877,0.75216,0.63706,0.712,0.37805,0.25485,0.10198,3770,1.54107,0.75075,1.10839,0.00538,0.00538,0.00538
72,6230.99,1.5163,0.75647,1.09841,0.77152,0.62841,0.72185,0.38365,0.25561,0.10178,3770,1.53307,0.7422,1.10606,0.005314,0.005314,0.005314
73,6312.51,1.51563,0.75334,1.09407,0.77871,0.62157,0.71478,0.38025,0.25825,0.103,3770,1.53418,0.73897,1.10571,0.005248,0.005248,0.005248
74,6393.99,1.52301,0.75427,1.09436,0.76528,0.62884,0.7204,0.38337,0.26302,0.10594,3770,1.53403,0.73864,1.10436,0.005182,0.005182,0.005182
75,6476.31,1.51327,0.75072,1.09456,0.78019,0.63085,0.72431,0.38543,0.26468,0.10652,3770,1.52996,0.7328,1.10327,0.005116,0.005116,0.005116
76,6558.16,1.51501,0.7478,1.09532,0.78018,0.63223,0.72394,0.3852,0.26313,0.10563,3770,1.52485,0.73197,1.10524,0.00505,0.00505,0.00505
77,6639.66,1.50489,0.74508,1.08929,0.78397,0.63908,0.72729,0.38912,0.26513,0.10745,3770,1.52464,0.72828,1.10098,0.004984,0.004984,0.004984
78,6721.33,1.50294,0.74319,1.08935,0.77419,0.64287,0.72361,0.38643,0.26158,0.10632,3770,1.52636,0.72877,1.10201,0.004918,0.004918,0.004918
79,6803.7,1.50048,0.7455,1.08668,0.75704,0.63341,0.72015,0.38789,0.26417,0.10825,3770,1.52019,0.7319,1.10053,0.004852,0.004852,0.004852
80,6886.27,1.50088,0.74161,1.08801,0.76941,0.64598,0.72651,0.38832,0.26372,0.10667,3770,1.52331,0.7256,1.10027,0.004786,0.004786,0.004786
81,6968.26,1.48023,0.73626,1.08119,0.7706,0.64553,0.7305,0.39072,0.2658,0.10804,3770,1.5108,0.72222,1.09327,0.00472,0.00472,0.00472
82,7049.93,1.48572,0.73524,1.08141,0.77129,0.63661,0.72422,0.38921,0.26214,0.10643,3770,1.51516,0.72499,1.09465,0.004654,0.004654,0.004654
83,7131.95,1.49146,0.73783,1.08157,0.76635,0.64627,0.73033,0.39252,0.26742,0.10892,3770,1.50867,0.72187,1.09273,0.004588,0.004588,0.004588
