epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
64,18176.9,1.224,0.66396,1.04049,0.0195,0,0.75303,0.55294,0.61407,0.38781,0.06657,0.02255,2834,1.22684,0.65835,1.06472,0,0,0.005842,0.005842,0.005842
65,18459,1.21264,0.65675,1.03984,0.01992,0,0.76184,0.55831,0.62324,0.39108,0.06944,0.02381,2834,1.21358,0.65073,1.06107,0,0,0.005776,0.005776,0.005776
66,18742.4,1.20624,0.6576,1.03837,0.01966,0,0.79464,0.54099,0.61703,0.39182,0.06498,0.02327,2834,1.21513,0.64875,1.06375,0,0,0.00571,0.00571,0.00571
67,19172,1.20483,0.65606,1.03528,0.01942,0,0.78889,0.5483,0.62415,0.39267,0.07235,0.0254,2834,1.20013,0.64408,1.05627,0,0,0.005644,0.005644,0.005644
68,19484.6,1.20585,0.65073,1.0304,0.01928,0,0.76049,0.56485,0.62518,0.39959,0.07218,0.02533,2834,1.20661,0.64314,1.06065,0,0,0.005578,0.005578,0.005578
69,19770.4,1.19527,0.65027,1.02829,0.01935,0,0.76259,0.55467,0.62524,0.40157,0.07029,0.02553,2834,1.19813,0.63904,1.05624,0,0,0.005512,0.005512,0.005512
70,20051.2,1.19246,0.6476,1.03373,0.01925,0,0.74998,0.56912,0.62776,0.40296,0.07318,0.02637,2834,1.19816,0.63883,1.0536,0,0,0.005446,0.005446,0.005446
71,20332.1,1.19086,0.64419,1.02806,0.0194,0,0.76519,0.56645,0.62826,0.39718,0.07305,0.02549,2834,1.20183,0.63831,1.05318,0,0,0.00538,0.00538,0.00538
72,20613.9,1.18247,0.63737,1.02546,0.01905,0,0.74398,0.5783,0.62892,0.39953,0.07251,0.02641,2834,1.20269,0.64162,1.05487,0,0,0.005314,0.005314,0.005314
73,20896,1.1815,0.63907,1.023,0.01903,0,0.78298,0.56983,0.63403,0.40429,0.0737,0.02496,2834,1.19301,0.63093,1.05081,0,0,0.005248,0.005248,0.005248
74,21179.1,1.18067,0.63317,1.02197,0.01897,0,0.76909,0.5503,0.62895,0.40141,0.06766,0.02465,2834,1.19113,0.62621,1.05064,0,0,0.005182,0.005182,0.005182
75,21462.5,1.17392,0.6309,1.02174,0.01883,0,0.77131,0.56979,0.63888,0.40865,0.07424,0.02637,2834,1.18296,0.62391,1.04465,0,0,0.005116,0.005116,0.005116
76,21746.1,1.17009,0.63396,1.01982,0.01919,0,0.77357,0.5619,0.62804,0.39903,0.07341,0.02597,2834,1.19104,0.62651,1.05035,0,0,0.00505,0.00505,0.00505
77,22033.5,1.17115,0.63109,1.01971,0.01913,0,0.79741,0.56885,0.63713,0.40776,0.07524,0.02724,2834,1.18388,0.6177,1.04575,0,0,0.004984,0.004984,0.004984
78,22316.9,1.1722,0.62871,1.01559,0.01877,0,0.77444,0.56212,0.63344,0.40323,0.07221,0.0253,2834,1.18862,0.63192,1.04767,0,0,0.004918,0.004918,0.004918
79,22601.9,1.16297,0.62627,1.01686,0.01899,0,0.80565,0.55997,0.63784,0.40766,0.07579,0.02813,2834,1.18476,0.61783,1.04706,0,0,0.004852,0.004852,0.004852
80,22885,1.16022,0.62445,1.00967,0.01864,0,0.79518,0.5651,0.64563,0.41405,0.07688,0.02808,2834,1.16924,0.61071,1.04142,0,0,0.004786,0.004786,0.004786
81,23295.6,1.15085,0.61792,1.01405,0.01874,0,0.74762,0.59197,0.64699,0.41312,0.07851,0.0278,2834,1.17763,0.62383,1.04588,0,0,0.00472,0.00472,0.00472
82,23637.7,1.15411,0.62038,1.01652,0.01882,0,0.779,0.56117,0.63374,0.4082,0.07544,0.02749,2834,1.17856,0.62057,1.04497,0,0,0.004654,0.004654,0.004654
83,23921.7,1.15206,0.61505,1.00983,0.01858,0,0.80193,0.56778,0.64638,0.41291,0.07638,0.02735,2834,1.17433,0.61546,1.04341,0,0,0.004588,0.004588,0.004588
84,24205.3,1.14169,0.61295,0.99858,0.01884,0,0.82275,0.56214,0.64008,0.41304,0.07544,0.02749,2834,1.17292,0.60855,1.04409,0,0,0.004522,0.004522,0.004522
85,24491.5,1.14438,0.61247,1.00752,0.0189,0,0.80905,0.57073,0.64438,0.41277,0.07685,0.02807,2834,1.17154,0.61089,1.04401,0,0,0.004456,0.004456,0.004456
86,24775.9,1.14474,0.60711,1.01346,0.0187,0,0.79899,0.56797,0.64598,0.41838,0.07865,0.02901,2834,1.16367,0.6095,1.03809,0,0,0.00439,0.00439,0.00439
87,25066.6,1.13362,0.60398,1.00812,0.01876,0,0.79111,0.57302,0.6477,0.41776,0.07795,0.02815,2834,1.16666,0.6077,1.04089,0,0,0.004324,0.004324,0.004324
88,25338.8,1.13457,0.60152,1.0005,0.0188,0,0.78985,0.57249,0.64936,0.41744,0.08184,0.02848,2834,1.16269,0.6084,1.04006,0,0,0.004258,0.004258,0.004258
89,25614.5,1.12761,0.60238,1.00431,0.01878,0,0.77102,0.5725,0.64246,0.41671,0.07507,0.02799,2834,1.16598,0.60629,1.04123,0,0,0.004192,0.004192,0.004192
90,25888.5,1.12963,0.60103,1.00005,0.01891,0,0.7746,0.57975,0.64403,0.41675,0.07703,0.02811,2834,1.15568,0.60538,1.03813,0,0,0.004126,0.004126,0.004126
91,26162,1.12529,0.60053,1.00062,0.01871,0,0.77957,0.57634,0.64146,0.41929,0.07627,0.02835,2834,1.15825,0.60543,1.03686,0,0,0.00406,0.00406,0.00406
92,26433.3,1.11758,0.59527,0.99604,0.01878,0,0.80025,0.57875,0.65069,0.42143,0.07944,0.02901,2834,1.1534,0.60131,1.03585,0,0,0.003994,0.003994,0.003994
93,26715.9,1.11791,0.59716,0.99962,0.01856,0,0.80187,0.58095,0.65941,0.42492,0.08447,0.0315,2834,1.15039,0.59137,1.03584,0,0,0.003928,0.003928,0.003928
94,26994,1.10861,0.59259,0.99709,0.01841,0,0.81987,0.57615,0.65938,0.42511,0.0834,0.03097,2834,1.15506,0.59743,1.03602,0,0,0.003862,0.003862,0.003862
95,27418.7,1.12044,0.59235,1.00004,0.01844,0,0.81825,0.58293,0.66177,0.42827,0.08315,0.03094,2834,1.1586,0.59506,1.03558,0,0,0.003796,0.003796,0.003796
96,27711.5,1.11642,0.59685,0.9961,0.0184,0,0.80422,0.58618,0.65595,0.42349,0.08161,0.0298,2834,1.15286,0.59533,1.03254,0,0,0.00373,0.00373,0.00373
97,27997.8,1.11277,0.58953,0.99066,0.01846,0,0.77388,0.59667,0.65986,0.42726,0.08435,0.03085,2834,1.15173,0.59595,1.0326,0,0,0.003664,0.003664,0.003664
98,28272,1.1155,0.59234,0.99532,0.01839,0,0.84045,0.57543,0.65945,0.42659,0.08346,0.03028,2834,1.15437,0.59606,1.02878,0,0,0.003598,0.003598,0.003598
99,28548,1.11351,0.59016,0.9933,0.01829,0,0.81855,0.57487,0.65704,0.42538,0.08205,0.02997,2834,1.15221,0.59846,1.02743,0,0,0.003532,0.003532,0.003532
100,28818.9,1.11325,0.59056,0.9939,0.01856,0,0.80546,0.58831,0.66447,0.43069,0.08536,0.03136,2834,1.15515,0.59347,1.02921,0,0,0.003466,0.003466,0.003466
101,29099.8,1.1096,0.58967,0.98869,0.01851,0,0.82589,0.57352,0.65722,0.42899,0.08343,0.03096,2834,1.15653,0.60226,1.02818,0,0,0.0034,0.0034,0.0034
102,29378.6,1.10239,0.58218,0.9885,0.01866,0,0.80207,0.58993,0.663,0.42909,0.08401,0.03108,2834,1.14513,0.59221,1.02494,0,0,0.003334,0.003334,0.003334
103,29654.7,1.09987,0.5824,0.98351,0.01876,0,0.83573,0.57091,0.67049,0.43408,0.08732,0.0315,2834,1.15102,0.58949,1.02527,0,0,0.003268,0.003268,0.003268
104,29928.8,1.09937,0.58188,0.98436,0.0187,0,0.81548,0.5856,0.66661,0.43225,0.08964,0.03236,2834,1.14759,0.59057,1.02503,0,0,0.003202,0.003202,0.003202
105,30206.1,1.09096,0.57832,0.97865,0.01862,0,0.80035,0.58307,0.66314,0.43247,0.08516,0.03129,2834,1.14635,0.58573,1.02362,0,0,0.003136,0.003136,0.003136
106,30488.6,1.10229,0.58269,0.98395,0.01865,0,0.82079,0.58774,0.66661,0.43397,0.08451,0.03173,2834,1.14694,0.58862,1.02747,0,0,0.00307,0.00307,0.00307
107,30772,1.09422,0.57675,0.98365,0.01851,0,0.8024,0.59397,0.66943,0.43744,0.08775,0.03308,2834,1.14408,0.58532,1.02689,0,0,0.003004,0.003004,0.003004
108,31047.7,1.08015,0.57435,0.97833,0.0182,0,0.80251,0.58831,0.6728,0.43795,0.08626,0.03258,2834,1.14534,0.58483,1.0278,0,0,0.002938,0.002938,0.002938
109,31460.4,1.08237,0.57357,0.97517,0.0184,0,0.82445,0.58797,0.67011,0.43783,0.08895,0.03304,2834,1.13712,0.58332,1.02272,0,0,0.002872,0.002872,0.002872
110,31808.1,1.08241,0.57113,0.97541,0.01827,0,0.78556,0.61288,0.67426,0.43996,0.08887,0.03381,2834,1.13935,0.58147,1.02334,0,0,0.002806,0.002806,0.002806
111,32118.8,1.08011,0.56984,0.97382,0.01825,0,0.8198,0.58704,0.67287,0.43988,0.08904,0.03308,2834,1.14369,0.58346,1.02546,0,0,0.00274,0.00274,0.00274
112,32427.9,1.08378,0.56968,0.97777,0.01839,0,0.80628,0.59399,0.67003,0.4377,0.09007,0.0328,2834,1.13948,0.58048,1.02425,0,0,0.002674,0.002674,0.002674
113,32736.8,1.07684,0.56896,0.97667,0.0182,0,0.82096,0.59393,0.67556,0.44106,0.09069,0.03339,2834,1.13199,0.58038,1.01886,0,0,0.002608,0.002608,0.002608
114,33045.7,1.07346,0.56822,0.9763,0.01824,0,0.80076,0.60573,0.67361,0.43892,0.08997,0.03325,2834,1.14072,0.58163,1.02314,0,0,0.002542,0.002542,0.002542
115,33355.4,1.0856,0.5699,0.97772,0.01814,0,0.80731,0.59819,0.67213,0.43878,0.08809,0.03295,2834,1.14076,0.5826,1.02379,0,0,0.002476,0.002476,0.002476
116,33662.7,1.07295,0.56633,0.97074,0.01833,0,0.84428,0.58559,0.67944,0.44477,0.09056,0.03387,2834,1.13628,0.57789,1.0233,0,0,0.00241,0.00241,0.00241
117,33971.2,1.07613,0.56574,0.97225,0.01826,0,0.84479,0.58783,0.67947,0.44562,0.09413,0.0357,2834,1.13168,0.57907,1.02084,0,0,0.002344,0.002344,0.002344
118,34276.7,1.0675,0.56239,0.9717,0.01804,0,0.85248,0.57956,0.67317,0.44096,0.09135,0.03452,2834,1.13217,0.57804,1.02127,0,0,0.002278,0.002278,0.002278
119,34581.3,1.0622,0.56057,0.9711,0.01802,0,0.81524,0.59353,0.67206,0.43953,0.09155,0.03508,2834,1.1308,0.5791,1.01933,0,0,0.002212,0.002212,0.002212
120,34887.6,1.05231,0.5535,0.97014,0.01797,0,0.83041,0.59417,0.67967,0.44589,0.09171,0.03537,2834,1.12622,0.57548,1.01913,0,0,0.002146,0.002146,0.002146
121,35193.8,1.05928,0.55594,0.96891,0.0179,0,0.81785,0.59467,0.67887,0.44284,0.09276,0.03456,2834,1.13134,0.57669,1.02152,0,0,0.00208,0.00208,0.00208
