epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,14690.6,1.33246,0.72354,1.09482,0.71444,0.49813,0.56311,0.35222,1.29095,0.70638,1.10189,0.00637,0.00637,0.00637
57,15033.2,1.32942,0.71919,1.09436,0.71967,0.51754,0.58243,0.36054,1.30349,0.69958,1.10962,0.006304,0.006304,0.006304
58,15341.2,1.33424,0.72106,1.09139,0.71399,0.5219,0.58567,0.36422,1.28722,0.69423,1.0995,0.006238,0.006238,0.006238
59,15483.6,1.31521,0.70812,1.08698,0.74024,0.51333,0.58871,0.36961,1.29132,0.69118,1.10455,0.006172,0.006172,0.006172
60,15626.1,1.30877,0.70378,1.08666,0.73632,0.52336,0.59597,0.3784,1.28039,0.68722,1.09934,0.006106,0.006106,0.006106
61,15768.6,1.30643,0.69827,1.08284,0.75812,0.51205,0.59879,0.38314,1.26636,0.67521,1.09075,0.00604,0.00604,0.00604
62,15912.1,1.29647,0.69224,1.07886,0.75787,0.52873,0.6059,0.37944,1.26974,0.67255,1.09282,0.005974,0.005974,0.005974
63,16056.9,1.29154,0.69002,1.07657,0.74321,0.51791,0.60241,0.3803,1.26106,0.67669,1.08987,0.005908,0.005908,0.005908
64,16199,1.29148,0.69318,1.07534,0.73722,0.54134,0.60535,0.37875,1.25878,0.6679,1.08856,0.005842,0.005842,0.005842
65,16339.7,1.29271,0.68773,1.08056,0.73027,0.55362,0.60687,0.38409,1.25376,0.6718,1.08916,0.005776,0.005776,0.005776
66,16478.3,1.2836,0.68664,1.076,0.75526,0.53451,0.6097,0.3842,1.25695,0.66616,1.08923,0.00571,0.00571,0.00571
67,16618.5,1.28228,0.6815,1.07436,0.73453,0.54503,0.60722,0.37804,1.25739,0.66814,1.09048,0.005644,0.005644,0.005644
68,16799.5,1.28174,0.68015,1.07053,0.72349,0.55102,0.60749,0.38547,1.25867,0.67071,1.08987,0.005578,0.005578,0.005578
69,16933.3,1.26894,0.67785,1.06547,0.76267,0.52811,0.60427,0.38542,1.25094,0.66816,1.08696,0.005512,0.005512,0.005512
70,17066.3,1.26971,0.67532,1.07146,0.73479,0.54456,0.60966,0.38418,1.25179,0.66549,1.08841,0.005446,0.005446,0.005446
71,17200,1.26271,0.66946,1.0667,0.76412,0.54652,0.62315,0.39482,1.24514,0.65324,1.08481,0.00538,0.00538,0.00538
72,17340,1.26063,0.67167,1.06099,0.79229,0.53804,0.62405,0.39547,1.23854,0.65958,1.08079,0.005314,0.005314,0.005314
73,17466,1.25228,0.66524,1.06017,0.80424,0.5312,0.62098,0.39328,1.23956,0.65576,1.0802,0.005248,0.005248,0.005248
74,17592.7,1.25631,0.66734,1.05902,0.75593,0.57277,0.63075,0.39723,1.23857,0.65703,1.07896,0.005182,0.005182,0.005182
75,17725.3,1.25053,0.65944,1.05832,0.77509,0.53889,0.62457,0.39603,1.23403,0.64688,1.08236,0.005116,0.005116,0.005116
76,17860.8,1.24739,0.66133,1.05568,0.7429,0.55722,0.62467,0.39903,1.23006,0.65263,1.07859,0.00505,0.00505,0.00505
77,17991.8,1.24631,0.65893,1.05659,0.80292,0.54797,0.6342,0.40526,1.22639,0.63867,1.0776,0.004984,0.004984,0.004984
78,18124,1.24934,0.65598,1.05128,0.73476,0.56631,0.62587,0.39402,1.24187,0.65387,1.0811,0.004918,0.004918,0.004918
